class	group	term	genes	all	padj
UP	AD1_control	Bet v I/Major latex protein	10	44	0.016180189860213055
UP	AD1_control	endonuclease activity	23	170	0.002076255503097346
UP	AD1_control	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	18	112	0.002076255503097346
UP	AD1_control	endoribonuclease activity	22	136	2.668967513705504e-4
UP	AD1_control	endoribonuclease activity, producing 5'-phosphomonoesters	18	109	0.00199682657369577
UP	AD1_control	Glycoside hydrolase family 18, catalytic domain	7	21	0.018127259583802853
UP	AD1_control	hAT-like transposase, RNase-H fold	8	31	0.030236506431558053
UP	AD1_control	HAT, C-terminal dimerisation domain	9	41	0.037546602871450764
UP	AD1_control	L10-interacting MYB domain-containing protein	17	60	2.2919802235058974e-6
UP	AD1_control	Myb/SANT-like domain	19	72	1.6140438613313825e-6
UP	AD1_control	nuclease activity	30	271	0.002816709536605631
UP	AD1_control	ribonuclease activity	27	190	2.0391127387394106e-4
UP	AD1_control	Ribonuclease H domain	14	75	0.0041088122523419285
UP	AD1_control	Ribonuclease H-like domain, plant type	10	49	0.030236506431558053
UP	AD1_control	Ribonuclease H-like superfamily	20	161	0.018127259583802853
UP	AD1_control	RNA-DNA hybrid ribonuclease activity	16	80	6.632268809396116e-4
UP	AD1_control	SNase-like, OB-fold superfamily	5	9	0.018127259583802853
UP	AD1_control	Uncharacterized protein At4g02000-like	8	30	0.026207552484827944
UP	AD1_control	Zinc knuckle CX2CX4HX4C	7	15	0.002076255503097346
DOWN	AD1_control	active transmembrane transporter activity	33	548	0.015412383024471529
DOWN	AD1_control	ADP binding	26	359	0.004856115100363768
DOWN	AD1_control	aerobic respiration	13	110	0.004133397323818855
DOWN	AD1_control	Apoptotic protease-activating factors, helical domain	22	244	8.269897778319834e-4
DOWN	AD1_control	ATP biosynthetic process	19	85	1.2047073737172242e-8
DOWN	AD1_control	ATP metabolic process	26	203	3.297924506904628e-7
DOWN	AD1_control	ATP synthesis coupled proton transport	19	85	1.2047073737172242e-8
DOWN	AD1_control	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain superfamily	4	10	0.021510301684212873
DOWN	AD1_control	carbohydrate derivative biosynthetic process	34	496	0.001188433618573949
DOWN	AD1_control	cation channel activity	17	119	3.046152385740836e-5
DOWN	AD1_control	cation transmembrane transport	25	324	0.0026302961688104446
DOWN	AD1_control	cation transmembrane transporter activity	38	531	1.556515163815098e-4
DOWN	AD1_control	cation transport	38	527	1.3399049243723775e-4
DOWN	AD1_control	cellular respiration	17	155	7.950397718607761e-4
DOWN	AD1_control	channel activity	24	266	3.482872261025687e-4
DOWN	AD1_control	chlorophyll binding	9	30	4.453802283395338e-5
DOWN	AD1_control	chloroplast thylakoid	34	531	0.004182168473089454
DOWN	AD1_control	chloroplast thylakoid membrane	28	421	0.009881632555597514
DOWN	AD1_control	Cytochrome b/b6, C-terminal	3	4	0.015971891216675946
DOWN	AD1_control	Disease resistance protein, plants	19	251	0.027344481961082384
DOWN	AD1_control	DNA-directed RNA polymerases I and III subunit AC19	3	5	0.03756690193099298
DOWN	AD1_control	electron transfer activity	27	172	5.1715581109535535e-9
DOWN	AD1_control	electron transport chain	27	199	5.657715224830977e-8
DOWN	AD1_control	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	8	24	8.477557812085002e-5
DOWN	AD1_control	energy derivation by oxidation of organic compounds	19	186	6.381960385045041e-4
DOWN	AD1_control	generation of precursor metabolites and energy	49	523	5.1715581109535535e-9
DOWN	AD1_control	inorganic cation transmembrane transport	25	320	0.0022394514087366066
DOWN	AD1_control	inorganic cation transmembrane transporter activity	37	497	9.230214333554265e-5
DOWN	AD1_control	inorganic ion transmembrane transport	28	345	3.835499629310774e-4
DOWN	AD1_control	ion channel activity	22	212	1.0587443016878821e-4
DOWN	AD1_control	ion transmembrane transport	33	451	4.506864852406692e-4
DOWN	AD1_control	large ribosomal subunit	20	244	0.006799324913618613
DOWN	AD1_control	membrane protein complex	58	657	2.0586975273424667e-9
DOWN	AD1_control	mitochondrial ATP synthesis coupled proton transport	4	4	2.045065701907063e-4
DOWN	AD1_control	mitochondrial large ribosomal subunit	5	12	0.0029035533233114502
DOWN	AD1_control	mitochondrial matrix	9	51	0.003086467132212156
DOWN	AD1_control	mitochondrial protein-containing complex	23	210	2.8504025338349085e-5
DOWN	AD1_control	mitochondrial ribosome	8	17	5.256825141231306e-6
DOWN	AD1_control	mitochondrial small ribosomal subunit	4	5	8.269897778319834e-4
DOWN	AD1_control	NAD(P)H dehydrogenase (quinone) activity	10	45	1.6321676003588258e-4
DOWN	AD1_control	NADH dehydrogenase (quinone) activity	10	35	1.9403374852248746e-5
DOWN	AD1_control	NADH dehydrogenase activity	11	50	5.759900150886801e-5
DOWN	AD1_control	NB-ARC	25	286	3.711255075820912e-4
DOWN	AD1_control	nucleobase-containing small molecule metabolic process	30	448	0.005245976584160624
